SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No,CompanyName,ResponsibleName
4000-08,PI,4000-08-LO-02-899,PI_TP,B,(FT-8001B -TK2) گسکت ولو و درين تانک اورجينال نصب گردد.,PL-60411,ساتراپ,پانچ|هولد کیسون
4000-08,PI,4000-08-NCD-03-742,PI_TP,B,مسير درين پمپ N/B/G تکميل شود (P-8001B),PL-60366,ساتراپ,پانچ|هولد کیسون
4000-08,PI,4000-08-ROW-03-648,PI_TP,A,"(GENERAL FOR SUB SYSTEM) Fainal Asbilt Shall Be Atached Befor Issue Forme ""C""",PL-60430,کیسون,پانچ|هولد مدارک
4000-08,PI,4000-08-VA-04-661,PI_TP,A,"(3""-VA-80-114-B24-H) مسير بخار از سمت توربين به مبدل N/B بولت تايتنينگ شود. (FT-8001A-E)",PL-60416,ساتراپ,پانچ|هولد کیسون
4000-09,PI,4000-09-WWO-01-214,PI_TP,C,(AP-8416) SHALL BE INSTALLED BEFOR PRECOM,PL-00440,نیرو آرا اندیش,کارباقیمانده|هولد کیسون
4000-11,PI,4000-11-IA-02-612,PI_TP,C,ALL INSTRUMENT DEVICES MUST BE INSTALLED BEFORE PRECOMM (PG-002) | (PCV-008),PL-01450,نیرو آرا اندیش,پانچ|هولد مدارک
4000-12,PI,4000-12-WWC-01-1061,PI_TP,C,All Instrument Indicator Shall Be Install (PG-8417A|PG-8417B And AP-8411| AP-8412 AND AT-8413),PL-31879,نیرو آرا اندیش,پانچ|هولد مدارک
4000-12,PI,4000-12-WWC-05-1087,PI_TP,C,P&ID No : VD-1205-101-PID-001 Must Be Replaced,PL-61446,کیسون,پانچ|هولد مدارک
4000-12,PI,4000-12-WWC-05-1087,PI_TP,C,All Isometrics Must Be Approved By The Owners Design And Engineering | Also Attached To The Package,PL-61447,کیسون,پانچ|هولد مدارک
4000-12,PI,4000-12-WWC-05-1087,PI_TP,C,Stud Bolt 5/8x145 16 PCS According To Item No: 10 Isometrics Should Be Installed,PL-61448,کارفرما,کارباقیمانده|هولد کارفرما
4000-12,PI,4000-12-WWC-06-1127,PI_TP,C,The P&ID Is In Consistent With The Isometric Must Be Corrected,PL-46770,کیسون,پانچ|هولد مدارک
4000-14,PI,4000-14-FW-02-003,PI_TP,C,HISTORY SHEET SHALL BE CHANGED AFTER,PL-28340,کیسون,پانچ|هولد مدارک
4000-14,PI,4000-14-FW-10-108,PI_TP,C,J:13TN SHALL BE WELDED AFTER TEST,PL-01065,کیسون,پانچ|هولد مدارک
4000-14,PI,4000-14-FW-11-121,PI_TP,C,HISTORY SHEET SHALL BE CHENGED,PL-00340,کیسون,پانچ|هولد مدارک
4000-14,PI,4000-14-FW-12-122,PI_TP,C,J:12TN (THD) AFTER INSTALLING THE EQUIPMENT (HR:9006) SHOULD BE CONNECTED BEFOR PRECOM,PL-01031,کیسون,پانچ|هولد مدارک
4000-14,PI,4000-14-FW-13-139,PI_TP,C,HISTORY SHEET SHALL BE CHENGED AFTER TEST,PL-00938,کیسون,پانچ|هولد مدارک
4000-14,PI,4000-14-FW-18-255,PI_TP,A,نشتي ابزار دقيق دارد FH-9033  (4-FW-90-078-B81-UW),PL-54677,کارفرما,پانچ|هولد کارفرما
4000-14,PI,4000-14-FW-24-261,PI_TP,C,LIN SHALL BE CONNECTEXD TO (HR-9008) BEFORE COMM,PL-01140,کیسون,پانچ|هولد مدارک
4000-14,PI,4000-14-FW-26-263,PI_TP,C,در صورت وصل نشدن به فلنج VENDOR FIRE WATER بايستي برشکاري و هيدرتست انجام شود,PL-02133,کیسون,پانچ|هولد مدارک
4000-14,PI,4000-14-FW-27-264,PI_TP,A,-نشتي ازفيلتر دارد DL-2003  -يکي از ولوها هندويل ندارد  (4-FW-90-079-B81-UW),PL-54678,کارفرما,پانچ|هولد کارفرما
4000-15,PI,4000-21-SRW-01-112,PI_TP,B,ITEM NO:3 MUST BE ACCORDING ISOMETRIC INSTALLED AFTER HYDRO TEST (HASE COUPLING),PL-00346,کیسون,پانچ|هولد مدارک
5000-01,PI,5000-01-LPC-01-205,PI_TP,B,(GENERAL FOR SUB SYSTEM) ولو ونت روي مکانيکال سيل P-5003 نصب گردد,PL-53272,کیسون,پانچ|هولد کیسون
5000-01,PI,5000-01-LPC-01-205,PI_TP,C,(GENERAL FOR SUB SYSTEM) تگهاي TG-50205A/B| TG-50204A/Bمربوط به پمپ P-5003 اصلاح شود,PL-53273,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-LPC-01-205,PI_TP,B,(GENERAL FOR SUB SYSTEM) ولو ونتهاي روي سيلي پات P-5002 نصب شود.,PL-53274,کیسون,پانچ|هولد کیسون
5000-01,PI,5000-01-LPC-01-205,PI_TP,A,(GENERAL FOR SUB SYSTEM) PT-5091 و تيوپ ابزار دقيق نصب شود.,PL-53265,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PG-01-223,PI_TP,C,(AP-5112)SHOULD BE INSTALLED BEFORE PRECOM,PL-00416,نیرو آرا اندیش,کارباقیمانده|هولد کیسون
5000-01,PI,5000-01-PMC-02-109,PI_TP,C,all instrumentation device (PG:5102 | PT:5093 | FT:5093 | PG:5106 | FT:5107) should be installed before the precom,PL-01187,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-02-109,PI_TP,A,(GENERAL FOR SUB SYSTEM) تيوپ ابزار دقيق کانکت شود FT-5020,PL-53267,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-02-109,PI_TP,C,All Inssteroment Device (PG5102|PT5093|FT5093|PG5106|FT5107) Should Be Install. GENERAL,PL-52616,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-07-150,PI_TP,A,(GENERAL FOR SUB SYSTEM) فلنج مربوط به P-5011 Are اصلاح شود,PL-53276,کیسون,پانچ|هولد کیسون
5000-01,PI,5000-01-PMC-07-150,PI_TP,A,(GENERAL FOR SUB SYSTEM) فلنج پاييني LG-5072 نات و بولت تکميل شود. LG-5072,PL-53278,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-07-150,PI_TP,B, AP هاي ناحيه 5000 نصب شود AP-3197| AP-5044| AP-5112| AP-5098| AP-5021 GENERAL.,PL-53283,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-07-150,PI_TP,A, Gasket درين TK-5001 نصب شود,PL-53284,کارفرما,پانچ|هولد کارفرما
5000-01,PI,5000-01-PMC-07-150,PI_TP,C,(AP-5019) SHOULD BE INSTALLED BEFORE PRECOM,PL-00176,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-14-434,PI_TP,C,ITEM INSULATION KIT MUST BE INSTALLED BEFORE PRECOM,PL-00576,کارفرما,پانچ|هولد کارفرما
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(AP-5056) SHOULD BE INSTALLED BEFORE PRECOM,PL-00939,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(AP-5055) SHOULD BE INSTALLED BEFORE PRECOM,PL-00940,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(AP-5057) SHOULD BE INSTALLED BEFORE PRECOM,PL-00941,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(AP-5052) SHOULD BE INSTALLED BEFORE PRECOM,PL-00942,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(AP-5053) SHOULD BE INSTALLED BEFORE PRECOM,PL-00943,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,FLUSH RING (5041) SHOULD BE INSTALLED BEFORE PRECOM,PL-00944,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-15-480,PI_TP,C,(LT-5041) SHOULD BE INSTALLED BEFORE PRECOM,PL-00945,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-19-484,PI_TP,C,ITEM 15 (AP-5098) SHALL BE ISTALLED BEFORE PRECOM,PL-00626,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-20-537,PI_TP,C,ALL TIE-IN JOINTS SHALL BE WORK AND NDT DONE AND REPORTED,PL-12196,کیسون,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-25-592,PI_TP,C,ALL INSTRUMENT DEVICE SHALL BE INSTALL AFTER HYDRO TEST,PL-01910,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMC-34-1166,PI_TP,C,(PSV-5008) Didn’t Install. Due To MRC Request Attached By Owner Sigh.,PL-59669,کیسون,پانچ|هولد مدارک
5000-01,PI,5000-01-PMV-03-235,PI_TP,C,FA3001 SHOULD BE INSTALLED BEFORE COM,PL-01191,کارفرما,کارباقیمانده|هولد کارفرما
5000-01,PI,5000-01-PMV-04-252,PI_TP,C,Safety Valve Calibration Report Should Be Attach,PL-61443,کارفرما,کارباقیمانده|هولد کارفرما
5000-01,PI,5000-01-PMV-07-400,PI_TP,A, .j:5 Recaped. NDT Shall Be Done. ISO:30111 1/2 پانچ A در تاريخ گذشته انجام نشده.,PL-52621,کیسون,پانچ|هولد مدارک
5000-01,PI,5000-01-PMW-05-930,PI_TP,A,(GENERAL FOR SUB SYSTEM) تکميل امضاهاي باقيمانده انجام نشده کليه يکيج ها,PL-53252,کیسون,پانچ|هولد مدارک
5000-01,PI,5000-01-PMW-05-930,PI_TP,A,(GENERAL FOR SUB SYSTEM) All Attached Document. Must Be Riviewe And Invalid Document  Removed.,PL-53253,کیسون,پانچ|هولد مدارک
5000-01,PI,5000-01-PMW-05-930,PI_TP,A,(GENERAL FOOR SUB SYSTEM) All Remain Work (Joint| Activity| …)Must Be Complated,PL-53254,کیسون,پانچ|هولد مدارک
5000-01,PI,5000-01-PMW-05-930,PI_TP,A,(GENERAL FOR SUB SYSTEM) All Format (Joint History|…) Must Be Apprived& Signed By Owner,PL-53255,کیسون,پانچ|هولد مدارک
5000-01,PI,5000-01-PMW-05-930,PI_TP,A,(GENERAL FOR SUB SYSTEM) Fainal Asbilt Shall Be Atached Be For Issue Forme.,PL-53256,کیسون,پانچ|هولد مدارک
5000-01,PI,5000-01-PMW-05-930,PI_TP,B,(GENERAL FOR SUB SYSTEM) AP-5019| AP-5052| AP-5053| AP-5055| AP-5056| AP-5053 Shall Be Install.,PL-53257,نیرو آرا اندیش,پانچ|هولد مدارک
5000-01,PI,5000-01-PMW-05-930,PI_TP,A,FT-5070(GENERAL FOR SUB SYSTEM)| ارفيس پليت نصب شود و Seal Weld شود و تيوپ ابزار دقيق کانکت شود,PL-53260,ساتراپ,پانچ|هولد کیسون
5000-02,PI,5000-02-PMC-14-213,PI_TP,C,Insulation Kit Shall Be Install. ISO:57040,PL-52624,کارفرما,پانچ|هولد کارفرما
5000-02,PI,5000-02-PMC-14-213,PI_TP,C,Insulation Kit Shall Be Install.,PL-53478,ساتراپ,پانچ|هولد کیسون
5000-02,PI,5000-02-PMC-14-213,PI_TP,C,"6""- PMP 50-173-D24-P رنگ و COLERCOD انجام شود. E-5012 (GENERAL FOR SUB SYSTEM)",PL-53498,کیسون,پانچ|هولد کیسون
5000-02,PI,5000-02-PMC-14-213,PI_TP,B,نصب شود(GENERAL FOR SUB SYSTEM)  AP-5095,PL-53499,کارفرما,پانچ|هولد کارفرما
5000-02,PI,5000-02-PMC-14-213,PI_TP,B,(GENERAL FOOR SUB SYSTEM) AP-5173|AP-5175|AP5174|AP-5180 نصب شوند,PL-53500,نیرو آرا اندیش,پانچ|هولد مدارک
5000-02,PI,5000-02-PMC-14-213,PI_TP,B,(GENERAL FOOR SUB SYSTEM) AP-5167|AP-5184نصب شود,PL-53501,نیرو آرا اندیش,پانچ|هولد مدارک
5000-02,PI,5000-02-PMC-14-213,PI_TP,A,Foنصب شود و Seal Weldشود و Legنصب گرددFT-5161.  (GENERAL FOR SUB SYSTEM),PL-53502,ساتراپ,پانچ|هولد کیسون
5000-02,PI,5000-02-PMC-14-213,PI_TP,A,(GENERAL FOR SUB SYSTEM) درين کانکت شود و Insulation Kit نصب شود. T-5003,PL-54349,ساتراپ,پانچ|هولد کیسون
5000-02,PI,5000-02-PMC-14-213,PI_TP,A,(GENERAL FOR SUB SYSTEM)                              نصب شودInsulationKit. T-5003,PL-54350,ساتراپ,پانچ|هولد کیسون
5000-02,PI,5000-02-PMC-14-213,PI_TP,A,(GENERAL FOR SUB SYSTEM)                              نصب شودInsulationKit. E-5002(1/2/4),PL-54351,ساتراپ,پانچ|هولد کیسون
5000-02,PI,5000-02-PMC-14-213,PI_TP,A,(GENERAL FOR SUB SYSTEM) ايجاد دسترسي به ولو درين خط 6-PMC-50-148-B24-H (T-5002),PL-54353,کارفرما,پانچ|هولد کارفرما
5000-02,PI,5000-02-PMC-14-213,PI_TP,B,(GENERAL FOR SUB SYSTEM) عايق Minflow کار شود و مسير ساکشن کامل شود. (P-5005A/B),PL-54354,کیسون,پانچ|هولد کیسون
5000-02,PI,5000-02-PMC-14-213,PI_TP,A,(GENERAL FOR SUB SYSTEM) شود و عايق شود  (FT-5239)     Seal Weld,PL-54356,ساتراپ,پانچ|هولد کیسون
5000-02,PI,5000-02-PMC-14-213,PI_TP,B,(GENERAL FOR SUB SYSTEM) عايق کاري درين و نصب Insulation Kit انجام شود. (FV-5203),PL-54357,ساتراپ,پانچ|هولد کیسون
5000-02,PI,5000-02-PMP-09-539,PI_TP,A,(GENERAL FOR SUB SYSTEM) گلدوني ساپورت Dis|Suc پمپ جوشکاري شود. (P-5005A/B),PL-54355,ساتراپ,پانچ|هولد کیسون
5000-02,PI,5000-02-PMP-09-539,PI_TP,A,(THIS PUNCH FOR SUB SYSTEM 5000-2) خط( VA-50-101-B24-P ) کانکت شود (D-5002),PL-53482,ساتراپ,پانچ|هولد مدارک
5000-02,PI,5000-02-PMP-09-539,PI_TP,A,(THIS PUNCH FOR SUB SYSTEM 5000-2) درين درام 5002 کانکت شود. (D-5002),PL-53483,ساتراپ,پانچ|هولد مدارک
5000-02,PI,5000-02-PMP-09-539,PI_TP,A,(THIS PUNCH FOR SUB SYSTEM 5000-2) Insulation Kit مربوط به درام 5002 نصب شود.,PL-53484,کارفرما,پانچ|هولد کارفرما
5000-02,PI,5000-02-PMP-09-539,PI_TP,A, (THIS PUNCH FOR SUB SYSTEM  Seal Weld مربوط به (FT-5203) انجام شود,PL-53487,ساتراپ,پانچ|هولد مدارک
5000-02,PI,5000-02-PMP-09-539,PI_TP,A,(THIS PUNCH FOR SUB SYSTEM 5000-02) نصب شود (AP-521885.C),PL-53489,نیرو آرا اندیش,پانچ|هولد مدارک
5000-02,PI,5000-02-PMP-09-539,PI_TP,A,(GENERAL FOR SUB SYSTEM) All Remain Work (Joint| Activity)Must Be Completed,PL-53248,کیسون,پانچ|هولد مدارک
5000-02,PI,5000-02-PMP-09-539,PI_TP,A,(GENERAL FOR SUB SYSTEM) All Attached Document. Must Be Riwive And Removed Invalid Document.,PL-53249,کیسون,پانچ|هولد مدارک
5000-02,PI,5000-02-PMP-09-539,PI_TP,A,"(GENERAL FOR SUB SYSTEM) All Format Package (Joint History |…) Mast Be Approved And Signed By Avand Final Asbuitt Shall Be Attached Befor Issue Form ""E""",PL-53250,کیسون,پانچ|هولد مدارک
5000-02,PI,5000-02-PMP-09-539,PI_TP,C,ITEM 18 (TI-5219) AND ITEM 12 (AP-5218) SHOULD BE INSTALLED BEFORE PRECOM,PL-00453,نیرو آرا اندیش,کارباقیمانده|هولد کیسون
5000-02,PI,5000-02-VA-01-141,PI_TP,C,THE INSTRUMENTION DEVICE (AP :5208) MUST BE INSTALLED BEFORE THE PRECOMM,PL-01198,نیرو آرا اندیش,پانچ|هولد مدارک
5000-03,PI,5000-03-PMC-03-161,PI_TP,C,ALL INSTRUMENT INDICATOR SHALL BE INSTALL (ANALIZER POINT),PL-02359,نیرو آرا اندیش,پانچ|هولد مدارک
5000-03,PI,5000-03-PMC-04-701,PI_TP,C,The Instrument Item (PG-3195 and PT-3194) Must Be Installed Before Precom,PL-00950,نیرو آرا اندیش,پانچ|هولد مدارک
5000-03,PI,5000-03-PMP-04-051,PI_TP,C,ITEM 6 (AP) SHALL BE INSTALLED AFTER TEST,PL-00162,نیرو آرا اندیش,پانچ|هولد مدارک
5000-03,PI,5000-03-PMP-06-053,PI_TP,A,"The Thickness Of Flange spectacle 3.4""-CLASS 150 AND 300# ARE INCONSISTENT  THE SIZE AS LISTED IN THE ISOMETRIC",PL-54359,کیسون,پانچ|هولد مدارک
5000-03,PI,5000-03-PMP-06-053,PI_TP,A,(GENERAL FOR SUB SYSTEM) All Remain Work (Joint| Activity) Mast Be ComPleted.,PL-54360,کیسون,پانچ|هولد مدارک
5000-03,PI,5000-03-PMP-06-053,PI_TP,A,(GENERAL FOR SUB SYSTEM) All Format Of Test Package (Joint History) Shall Be Approved And Signed Byavnd.,PL-54361,کیسون,پانچ|هولد مدارک
5000-03,PI,5000-03-PMP-06-053,PI_TP,A,(GENERAL FOR SUB SYSTEM) All Doc. Attached (DWG| Form)Must Be Reviwed And Invalid Doc. Remoned.,PL-54362,کیسون,پانچ|هولد مدارک
5000-03,PI,5000-03-PMP-06-053,PI_TP,A,"(GENERAL FOR SUB SYSTEM) Fainall Asbuilt Shall Be For Issue Form ""C""",PL-54363,کیسون,پانچ|هولد مدارک
5000-03,PI,5000-03-PMP-06-053,PI_TP,A,(GENERAL FOR SUB SYSTEM) نصب شود. (P-5006A/B) Insulation Kit,PL-54584,ساتراپ,پانچ|هولد مدارک
5000-03,PI,5000-03-PMP-06-053,PI_TP,A,(GENERAL FOR SUB SYSTEM) اصلاح گريتينگ انجام شود. (E-5003 1/2),PL-54585,کیسون,پانچ|هولد کیسون
5000-03,PI,5000-03-PMP-06-053,PI_TP,A,(GENERAL FOR SUB SYSTEM) نصب شود. (P-5007A/B) Insulation Kit,PL-54586,ساتراپ,پانچ|هولد مدارک
5000-03,PI,5000-03-PMP-06-053,PI_TP,A,(GENERAL FOR SUB SYSTEM) مسير CWR و کولر مکانيکال سيل N/B تکميل گردد. (P-5007A/B),PL-54587,ساتراپ,پانچ|هولد کیسون
5000-03,PI,5000-03-PMP-06-053,PI_TP,B,(GENERAL FOR SUB SYSTEM) عايق Dis| Suc تکميل گردد و مسير Min Fiow (P-5010A/B),PL-54588,کیسون,پانچ|هولد کیسون
5000-03,PI,5000-03-PMP-06-053,PI_TP,A,(GENERAL FOR SUB SYSTEM) درين پمپ کانکت گردد و مسير درين عايق تکميل شود. (P-5010A/B),PL-54589,کیسون/ساتراپ,پانچ|هولد کیسون
5000-03,PI,5000-03-PMP-06-053,PI_TP,B,AP-5361| 5362| 5364| AP-5565| 5366| 5367 نصب گردد.  (GENERAL FOR SUB SYSTEM),PL-54591,کارفرما,پانچ|هولد کارفرما
5000-03,PI,5000-03-PMP-06-053,PI_TP,A, InsulationKitنصب شود (T-5003) (GENERAL FOR SUB SYSTEM),PL-54592,کارفرما,پانچ|هولد کارفرما
5000-03,PI,5000-03-PMP-06-053,PI_TP,B,AP-5368| AP-5274| AP-5369 نصب گردد.    (GENERAL FOR SUB SYSTEM),PL-54593,کارفرما,پانچ|هولد کارفرما
5000-03,PI,5000-03-PMP-06-053,PI_TP,A,N/B زير LG نصب گردد. (LG-5372)  (GENERAL FOR SUB SYSTEM),PL-54594,کارفرما,پانچ|هولد کارفرما
5000-03,PI,5000-03-PMW-03-154,PI_TP,C,ITEM 16 AND ITEM 17 SHALL BE INSTALLED AFTER,PL-00382,نیرو آرا اندیش,کارباقیمانده|هولد کیسون
5000-04-1,PI,5000-04-PMC-01-615,PI_TP,C,ORIGINAL GASKET DIDN’T INSTALL ACCORDING TO PRECOMM COMMENT,PL-02406,کارفرما,پانچ|هولد کارفرما
5000-04-1,PI,5000-04-PMC-01-615,PI_TP,C,FLOW TRANSMITTER DIDN’T INSTALL,PL-02407,کارفرما,پانچ|هولد کارفرما
5000-04,PI,5000-04-PMP-01-030,PI_TP,A,(ThiS PUNCH FOR SUB SYSTEM 5000-4) General Sub System کامل نبودن مرحله Reinstate تعدادي از پکيج ها,PL-54693,کارفرما,پانچ|هولد کارفرما
5000-04,PI,5000-04-PMP-01-030,PI_TP,A,(thiS PUNCH FOR SUB SYSTEM 5000-4) Iso:10022 تجهيز FT-5421 B/N/G تکميل گردد,PL-54695,کارفرما,پانچ|هولد کارفرما
5000-04,PI,5000-04-PMP-01-030,PI_TP,A,(thiS PUNCH FOR SUB SYSTEM 5000-4) Iso:10034 تجهيز FT-5494 B/N/G تکميل گردد,PL-54697,کارفرما,پانچ|هولد کارفرما
5000-04,PI,5000-04-PMP-01-030,PI_TP,B,(ThiS PUNCH FOR SUB SYSTEM 5000-4) Iso:43020 تجهيز AP-5431 نصب گردد,PL-54699,نیرو آرا اندیش,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-01-030,PI_TP,A,(thIS PUNCH FOR SUB SYSTEM 5000-4) General Sub System کليه امضاء فرمهاي تست پکيج ها کامل نيست,PL-54690,کیسون,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-01-030,PI_TP,A,(ThiS PUNCH FOR SUB SYSTEM 5000-4) General Sub System کليه تست پکيج ها ليست پانچ C کامل نيست,PL-54691,کیسون,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-01-030,PI_TP,A,(ThiS PUNCH FOR SUB SYSTEM 5000-4) Test Pakage No : 5000-04-PMP-01-030 پکيج کامل شود,PL-54718,کیسون,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-01-030,PI_TP,A,(ThiS PUNCH FOR SUB SYSTEM 5000-4) Test Pakage No : 5000-04-PMP-01-030 پکيج کامل شود,PL-54723,کیسون,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-01-030,PI_TP,B,(thIS PUNCH FOR SUB SYSTEM 5000-4) Iso:43026 تجهيز PG-5406-1نصب گردد,PL-54725,نیرو آرا اندیش,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-02-031,PI_TP,A,(ThIS PUNCH FOR SUB SYSTEM 5000-4) Test Pakage No : 5000-04-PMP-02-031 پکيج کامل شود,PL-54722,کیسون,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-04-033,PI_TP,A,(ThIS PUNCH FOR SUB SYSTEM 5000-4) Test Pakage No : 5000-04-PMP-04-033 پکيج کامل شود,PL-54724,کیسون,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-10-222,PI_TP,C,(thIS PUNCH FOR SUB SYSTEM 5000-4) Item 15 (PDT5385) Shall Be Install Before Renstate ISO:41011 Sh:1/5,PL-54681,نیرو آرا اندیش,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-10-222,PI_TP,C,Item 13 (AP-5382) SHOULD BE INSTALLED BEFORE Com,PL-01382,نیرو آرا اندیش,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-13-226,PI_TP,A,(thIS PUNCH FOR SUB SYSTEM 5000-4) Test Pakage No : 5000-04-PMP-13-226 پکيج کامل شود,PL-54719,کیسون,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-14-218,PI_TP,C,(PG-5406|PD-5012A) SHOULD BE INSTALLED BEFORE Comm,PL-01430,نیرو آرا اندیش,پانچ|هولد مدارک
5000-04-1,PI,5000-04-PMP-17-211,PI_TP,C,SUPPORT S5 SHALL BE COMPLETED BEFORE COMM (WELD| GROUTNIG|EXP BOLT),PL-01252,کارفرما,پانچ|هولد کارفرما
5000-04-1,PI,5000-04-PMP-17-211,PI_TP,C,ORIGINAL (G12 | B14) SHALL BE INSTALLED AFTER THE OPPOSITE LINE IS COMPELETED,PL-01253,کارفرما,پانچ|هولد کارفرما
5000-04-1,PI,5000-04-PMP-17-211,PI_TP,C,ORIGINAL G13 AND FLANGE SPECTACLE ITEM 10 SHALL BE INSTALLED AFTER,PL-01256,کارفرما,پانچ|هولد کارفرما
5000-04-1,PI,5000-04-PMP-17-211,PI_TP,C,SUPPORT S4 |  S5 SHALL BE COMPELETED BEFORE COMM (WELD | GROUTING | EXP BOLT),PL-01257,کارفرما,پانچ|هولد کارفرما
5000-04,PI,5000-04-PMP-28-1049,PI_TP,A,(ThIS PUNCH FOR SUB SYSTEM 5000-4) Test Pakage No : 5000-04-PMP-28-1049 پکيج کامل شود,PL-54720,کیسون,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-29-1165,PI_TP,C,All Instrument Devices Should Be Installed (LT-5413|5396 And LST-5414|5397),PL-61440,نیرو آرا اندیش,پانچ|هولد مدارک
5000-04,PI,5000-04-PMP-29-1165,PI_TP,C,All Pressure Relif Valves Should Be Installed After Calibrated,PL-62202,ساتراپ,کارباقیمانده|هولد کیسون
5000-04,PI,5000-04-PMV-01-035,PI_TP,A,(ThiS PUNCH FOR SUB SYSTEM 5000-4) Test Pakage No : 5000-04-PMV-01-035 پکيج کامل شود,PL-54721,ساتراپ,پانچ|هولد کیسون
5000-05,PI,5000-05-LOS-01-060,PI_TP,B,Final Asbuilt Shall be Attached befor issuae form c(GENERAL | All SUB SYSTEM),PL-54679,کیسون,پانچ|هولد مدارک
5000-05,PI,5000-05-LOS-01-060,PI_TP,B,ALL DOCUMENT (DWG| FORM) Shall be Reviwe and Remov invaild Doc(GENERAL | all sub system),PL-54663,کیسون,پانچ|هولد مدارک
5000-05,PI,5000-05-LOS-01-060,PI_TP,B,All Remain (Activity | joint ) muust be completed(GENERAL | All Sub System),PL-54667,کارفرما,پانچ|هولد کارفرما
5000-05,PI,5000-05-LOS-01-060,PI_TP,B,All Format shall be Approvid and Sign and stamp by TPA and OWNER(GENERAL SUB SYSTEM),PL-54674,کیسون,پانچ|هولد مدارک
5000-05,PI,5000-05-LOS-04-265,PI_TP,C,INSULATION KIT SHALL BE INSTALL,PL-54680,ساتراپ,پانچ|هولد مدارک
5000-05,PI,5000-05-LOS-04-265,PI_TP,B,Insulation Kit Should Be Install,PL-62353,NOT DEFINED,NOT DEFINED
5000-05,PI,5000-05-LOS-05-574,PI_TP,B,AP 5452 SHALL BE INSTALL BEFORE COMM,PL-01597,نیرو آرا اندیش,پانچ|هولد مدارک
5000-05,PI,5000-05-LOS-09-1168,PI_TP,C,Saftey Valve Should Be Install (PSV-5450),PL-61444,کارفرما,کارباقیمانده|هولد کارفرما
4000-08,PI,56-CWS-020,PI_TP,A,به علت صدمه ديدن خط و نياز به جوشکاري و تست مجدد مي بايست تمامي اسناد بروز رساني گردد,PL-23953,کیسون,پانچ|هولد مدارک
4000-14,PI,56-FW-UG-KC-278,PI_TP,C,all original gasket & original support shall be installed,PL-41922,کیسون,پانچ|هولد مدارک
4000-09,PI,56-MO-27-UG-KC-193,PI_TP,C,Wrapping & Holyday Test Format Shall Be Sign By Painting Group,PL-38617,کیسون,پانچ|هولد مدارک
4000-14,PI,57-FW-039,PI_TP,B,Between J : 52|53 Warpping Is Damage,PL-30014,کیسون,پانچ|هولد مدارک
4000-14,PI,57-FW-048,PI_TP,B,LINE SHALL BE ALIGN AND WRAPPING,PL-41545,کیسون/ساتراپ,پانچ|هولد کیسون
4000-14,PI,57-FW-048,PI_TP,B,PACKAGE SHALL BE MODIFY AS PER ISO NEW REV,PL-41548,کیسون,پانچ|هولد مدارک
4000-14,PI,57-FW-048,PI_TP,B,J : 58 - 60 SHALL BE WRAPPING AND SAND FILL,PL-41549,کیسون,پانچ|هولد مدارک
